"comp","gsi","P","t_div"
2,0.24,0.131868131868132,0.05
4,0.48,0.000999000999000999,0.05
2,0.321428571428572,0.031968031968032,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.525,0.000999000999000999,0.05
4,0.675,0.000999000999000999,0.05
2,0.24,0.121878121878122,0.05
4,0.48,0.001998001998002,0.05
2,0.415384615384615,0.018981018981019,0.05
4,0.6,0.000999000999000999,0.05
2,0.321428571428572,0.0609390609390609,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.24,0.151848151848152,0.05
4,0.48,0.000999000999000999,0.05
2,0.525,0.002997002997003,0.05
4,0.675,0.000999000999000999,0.05
2,0.24,0.177822177822178,0.05
4,0.48,0.000999000999000999,0.05
2,0.321428571428572,0.014985014985015,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.415384615384615,0.010989010989011,0.05
4,0.6,0.000999000999000999,0.05
2,0.16875,0.281718281718282,0.05
4,0.43125,0.001998001998002,0.05
2,0.321428571428572,0.0759240759240759,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.16875,0.283716283716284,0.05
4,0.43125,0.000999000999000999,0.05
2,0.321428571428572,0.025974025974026,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.321428571428572,0.0549450549450549,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.24,0.108891108891109,0.05
4,0.48,0.000999000999000999,0.05
2,0.24,0.185814185814186,0.05
4,0.48,0.000999000999000999,0.05
2,0.24,0.111888111888112,0.05
4,0.48,0.000999000999000999,0.05
2,0.16875,0.500499500499501,0.05
4,0.43125,0.000999000999000999,0.05
2,0.415384615384615,0.00699300699300699,0.05
4,0.6,0.000999000999000999,0.05
2,0.16875,0.314685314685315,0.05
4,0.43125,0.000999000999000999,0.05
2,0.415384615384615,0.00799200799200799,0.05
4,0.6,0.000999000999000999,0.05
2,0.16875,0.352647352647353,0.05
4,0.43125,0.000999000999000999,0.05
2,0.24,0.143856143856144,0.05
4,0.48,0.000999000999000999,0.05
2,0.321428571428572,0.0649350649350649,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.415384615384615,0.023976023976024,0.05
4,0.6,0.000999000999000999,0.05
2,0.16875,0.42957042957043,0.05
4,0.43125,0.000999000999000999,0.05
2,0.321428571428572,0.0599400599400599,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.415384615384615,0.012987012987013,0.05
4,0.6,0.000999000999000999,0.05
2,0.525,0.001998001998002,0.05
4,0.675,0.000999000999000999,0.05
2,0.525,0.001998001998002,0.05
4,0.675,0.000999000999000999,0.05
2,0.415384615384615,0.016983016983017,0.05
4,0.6,0.000999000999000999,0.05
2,0.16875,0.528471528471528,0.05
4,0.43125,0.000999000999000999,0.05
2,0.16875,0.403596403596404,0.05
4,0.43125,0.000999000999000999,0.05
2,0.16875,0.495504495504495,0.05
4,0.43125,0.000999000999000999,0.05
2,0.24,0.137862137862138,0.05
4,0.48,0.000999000999000999,0.05
2,0.415384615384615,0.016983016983017,0.05
4,0.6,0.000999000999000999,0.05
2,0.415384615384615,0.004995004995005,0.05
4,0.6,0.000999000999000999,0.05
2,0.415384615384615,0.011988011988012,0.05
4,0.6,0.000999000999000999,0.05
2,0.415384615384615,0.00899100899100899,0.05
4,0.6,0.000999000999000999,0.05
2,0.24,0.214785214785215,0.05
4,0.48,0.001998001998002,0.05
2,0.16875,0.380619380619381,0.05
4,0.43125,0.000999000999000999,0.05
2,0.525,0.002997002997003,0.05
4,0.675,0.000999000999000999,0.05
2,0.321428571428572,0.0629370629370629,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.16875,0.365634365634366,0.05
4,0.43125,0.001998001998002,0.05
2,0.415384615384615,0.00699300699300699,0.05
4,0.6,0.000999000999000999,0.05
2,0.415384615384615,0.002997002997003,0.05
4,0.6,0.000999000999000999,0.05
2,0.16875,0.323676323676324,0.05
4,0.43125,0.000999000999000999,0.05
2,0.24,0.152847152847153,0.05
4,0.48,0.000999000999000999,0.05
2,0.415384615384615,0.00999000999000999,0.05
4,0.6,0.000999000999000999,0.05
2,0.321428571428572,0.047952047952048,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.525,0.000999000999000999,0.05
4,0.675,0.000999000999000999,0.05
2,0.24,0.141858141858142,0.05
4,0.48,0.000999000999000999,0.05
2,0.321428571428572,0.030969030969031,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.24,0.11988011988012,0.05
4,0.48,0.000999000999000999,0.05
2,0.321428571428572,0.0569430569430569,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.321428571428572,0.032967032967033,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.321428571428572,0.0689310689310689,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.321428571428572,0.042957042957043,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.321428571428572,0.044955044955045,0.05
4,0.535714285714286,0.000999000999000999,0.05
2,0.525,0.002997002997003,0.05
4,0.675,0.000999000999000999,0.05
2,0.24,0.124875124875125,0.05
